player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,team_abbreviation,season,composite_score,role
Giannis Antetokounmpo,26.0,210.82,109.769264,326,29.26,12.1,5.779999999999999,10.58,0.061399999999999996,0.2758,0.34199999999999997,0.6256,0.30439999999999995,MIL,2022-23,15.8178,Playmaker
Joel Embiid,27.0,213.36,113.398,300,28.54,11.54,3.5799999999999996,8.3,0.0738,0.2682,0.3478,0.618,0.1976,PHI,2022-23,14.684999999999999,Scorer
Kevin Durant,32.25,205.74,108.86208,215,27.975,6.9,5.725,8.85,0.013,0.16625,0.30025,0.652,0.25125,PHX,2022-23,14.201,Playmaker
James Harden,31.0,195.58,99.79024,313,27.6,6.9799999999999995,9.36,4.92,0.023399999999999997,0.1628,0.3096,0.61,0.4084,PHI,2022-23,14.115999999999998,Playmaker
Stephen Curry,33.25,190.5,86.18248,252,28.55,5.525,5.9,8.7,0.017,0.1325,0.30325,0.63825,0.26699999999999996,GSW,2022-23,14.069749999999999,Playmaker
Nikola Jokic,26.0,213.36,113.398,368,23.6,11.38,8.06,7.779999999999999,0.0838,0.2638,0.28040000000000004,0.6406,0.3776,DEN,2022-23,14.056799999999999,Playmaker
LeBron James,36.0,203.2,113.398,278,27.380000000000003,8.1,7.859999999999999,4.359999999999999,0.028199999999999958,0.1924,0.3136,0.5938,0.37039999999999995,LAL,2022-23,13.841399999999998,Playmaker
Luka Doncic,22.0,200.66,98.883056,330,27.7,8.58,8.02,2.34,0.028999999999999998,0.21559999999999993,0.3474,0.5794,0.4124,DAL,2022-23,13.719199999999999,Playmaker
Kawhi Leonard,29.75,200.66,104.32616,221,25.575000000000003,6.85,4.325,9.6,0.033749999999999974,0.16525,0.294,0.61,0.21050000000000002,LAC,2022-23,13.1775,Scorer
Damian Lillard,30.0,190.5,88.45044,300,28.160000000000004,4.4,7.4,2.78,0.016399999999999998,0.10239999999999998,0.3,0.6066,0.32539999999999997,POR,2022-23,13.044800000000002,Playmaker
Kyrie Irving,29.0,190.5,87.543256,230,26.52,4.9,6.12,4.26,0.027199999999999957,0.10739999999999998,0.294,0.6012000000000001,0.27959999999999996,DAL,2022-23,12.602599999999999,Playmaker
Jayson Tatum,23.0,203.2,94.347136,359,24.5,7.44,3.6799999999999997,8.2,0.02739999999999996,0.178,0.28559999999999997,0.575,0.1692,BOS,2022-23,12.529,Scorer
Paul George,31.0,205.74,99.79024,266,24.18,6.7,4.8,7.279999999999999,0.0224,0.1658,0.29919999999999997,0.5791999999999999,0.22799999999999998,LAC,2022-23,12.3836,Playmaker
Devin Booker,24.0,198.12,95.25432,322,26.68,4.4,5.58,3.7399999999999998,0.018,0.10699999999999998,0.3114,0.5932000000000001,0.2556,PHX,2022-23,12.3406,Playmaker
Anthony Davis,28.0,208.28,114.758776,250,24.580000000000002,10.32,3.18,3.08,0.0764,0.21759999999999996,0.27979999999999994,0.5936,0.15360000000000001,LAL,2022-23,12.3168,Scorer
Zion Williamson,20.333333333333332,198.12,128.820128,114,25.166666666666668,6.833333333333333,3.466666666666667,5.0,0.07766666666666666,0.131,0.2886666666666666,0.639,0.17933333333333334,NOP,2022-23,12.277,Scorer
Karl-Anthony Towns,25.0,213.36,112.490816,265,24.22,10.34,4.140000000000001,1.2799999999999998,0.07419999999999997,0.225,0.2732,0.6268,0.19939999999999997,MIN,2022-23,12.234399999999999,Scorer
Donovan Mitchell,24.0,190.5,97.52228,334,25.68,4.279999999999999,4.68,5.82,0.024799999999999982,0.09639999999999996,0.3142,0.5700000000000001,0.23220000000000002,CLE,2022-23,12.078999999999999,Scorer
Trae Young,22.0,187.96,81.64656,353,25.72,3.72,9.34,-0.4800000000000001,0.019199999999999978,0.0868,0.31639999999999996,0.5798,0.41899999999999993,ATL,2022-23,11.9954,Playmaker
Russell Westbrook,32.0,190.5,90.7184,346,21.34,8.74,8.8,0.54,0.040799999999999996,0.1946,0.2912,0.5142,0.38639999999999997,LAC,2022-23,11.5336,Playmaker
Bradley Beal,28.0,195.58,93.893544,289,26.76,4.5,5.6,-1.9,0.02739999999999998,0.09659999999999999,0.3061999999999999,0.577,0.2578,WAS,2022-23,11.494,Playmaker
Pascal Siakam,27.0,205.74,104.32616,335,21.639999999999997,7.540000000000001,4.4399999999999995,5.92,0.0436,0.1662,0.2542,0.5718,0.19299999999999998,TOR,2022-23,11.491399999999999,Scorer
Ja Morant,21.5,190.5,78.92500799999999,248,22.625,4.875,7.375,3.3499999999999996,0.029249999999999974,0.111,0.29774999999999996,0.55625,0.35425,MEM,2022-23,11.408749999999998,Playmaker
Jimmy Butler,31.0,203.2,105.233344,296,20.88,6.140000000000001,5.58,4.26,0.057599999999999985,0.1264,0.24619999999999997,0.6004,0.267,MIA,2022-23,11.048199999999998,Playmaker
Domantas Sabonis,25.0,210.82,108.86208,339,18.18,11.620000000000001,5.42,1.94,0.0884,0.2658,0.22559999999999997,0.6244,0.2428,SAC,2022-23,11.0262,Playmaker
Julius Randle,26.0,205.74,113.398,357,22.04,9.7,4.279999999999999,-0.8,0.0524,0.2198,0.2792,0.5589999999999999,0.20400000000000001,NYK,2022-23,10.965,Scorer
DeMar DeRozan,31.0,200.66,99.79024,356,23.46,5.1,5.74,-0.33999999999999997,0.0184,0.12599999999999997,0.2748,0.5836,0.25939999999999996,CHI,2022-23,10.9058,Playmaker
Zach LaVine,26.0,195.58,90.7184,325,25.16,4.720000000000001,4.46,-2.46,0.0162,0.1176,0.2948,0.5976,0.2122,CHI,2022-23,10.8078,Scorer
Jrue Holiday,31.0,193.04,92.98636,321,19.119999999999997,4.779999999999999,6.94,6.359999999999999,0.0334,0.0988,0.2366,0.5726,0.2926,MIL,2022-23,10.7518,Playmaker
Jaylen Brown,24.0,200.66,99.79024,322,21.64,5.92,2.7800000000000002,5.260000000000001,0.0308,0.14079999999999998,0.271,0.5742,0.13440000000000002,BOS,2022-23,10.743599999999999,Scorer
